epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,57.6615,1.48977,0.63931,0.99618,0.95188,0.00033033,0.00033033,0.00033033
2,105.585,0.92509,0.73473,0.99427,0.75161,0.000650523,0.000650523,0.000650523
3,150.572,0.74898,0.76336,0.99618,0.66299,0.000957516,0.000957516,0.000957516
4,195.951,0.66645,0.81489,0.99046,0.56415,0.0009406,0.0009406,0.0009406
5,241.354,0.58429,0.78244,0.99618,0.56813,0.0009208,0.0009208,0.0009208
6,286.949,0.50671,0.85115,0.99618,0.41633,0.000901,0.000901,0.000901
7,332.415,0.44944,0.80153,0.99809,0.56168,0.0008812,0.0008812,0.0008812
8,378.229,0.37854,0.71947,0.99427,1.02601,0.0008614,0.0008614,0.0008614
9,423.838,0.41008,0.87786,1,0.37199,0.0008416,0.0008416,0.0008416
10,469.632,0.35047,0.86069,1,0.40396,0.0008218,0.0008218,0.0008218
11,515.55,0.3207,0.86832,1,0.37395,0.000802,0.000802,0.000802
12,561.509,0.25838,0.8874,1,0.32754,0.0007822,0.0007822,0.0007822
13,607.417,0.24269,0.91221,1,0.23594,0.0007624,0.0007624,0.0007624
14,654.836,0.23758,0.91221,1,0.26883,0.0007426,0.0007426,0.0007426
15,1606.19,0.20979,0.88359,0.99809,0.31259,0.0007228,0.0007228,0.0007228
16,1651.19,0.22365,0.90076,1,0.27133,0.000703,0.000703,0.000703
17,2614.95,0.19332,0.9084,1,0.23975,0.0006832,0.0006832,0.0006832
18,2660.13,0.15534,0.91603,1,0.25455,0.0006634,0.0006634,0.0006634
19,2705.25,0.1706,0.91794,1,0.22247,0.0006436,0.0006436,0.0006436
20,3701.49,0.15249,0.90076,1,0.31338,0.0006238,0.0006238,0.0006238
21,4668.24,0.14719,0.91603,1,0.25665,0.000604,0.000604,0.000604
22,4713.25,0.14409,0.91985,1,0.22381,0.0005842,0.0005842,0.0005842
23,5660.95,0.15515,0.90076,1,0.29672,0.0005644,0.0005644,0.0005644
24,6695.39,0.12854,0.93511,1,0.20236,0.0005446,0.0005446,0.0005446
25,6748.37,0.11149,0.91603,1,0.2857,0.0005248,0.0005248,0.0005248
26,7605.67,0.10082,0.9084,1,0.26978,0.000505,0.000505,0.000505
27,7651.34,0.12649,0.92557,1,0.23781,0.0004852,0.0004852,0.0004852
28,7697.07,0.11279,0.92939,1,0.2239,0.0004654,0.0004654,0.0004654
29,7760.49,0.09094,0.92366,1,0.19792,0.0004456,0.0004456,0.0004456
30,8721.79,0.08747,0.91412,1,0.23992,0.0004258,0.0004258,0.0004258
31,8767.16,0.10716,0.92557,1,0.21655,0.000406,0.000406,0.000406
32,8813.99,0.08038,0.94275,1,0.18632,0.0003862,0.0003862,0.0003862
33,8880.23,0.0763,0.93321,1,0.19393,0.0003664,0.0003664,0.0003664
34,9453.67,0.07645,0.92748,1,0.22766,0.0003466,0.0003466,0.0003466
35,9498.2,0.0879,0.93893,1,0.19068,0.0003268,0.0003268,0.0003268
36,9543.3,0.06866,0.92366,1,0.20534,0.000307,0.000307,0.000307
37,9587.81,0.06856,0.95038,1,0.16989,0.0002872,0.0002872,0.0002872
38,9633.61,0.05394,0.94275,1,0.19431,0.0002674,0.0002674,0.0002674
39,9677.83,0.05227,0.94275,1,0.167,0.0002476,0.0002476,0.0002476
40,9721.8,0.05109,0.94275,1,0.18392,0.0002278,0.0002278,0.0002278
41,9766.57,0.05733,0.93702,1,0.18727,0.000208,0.000208,0.000208
42,9811.45,0.06208,0.94656,1,0.18436,0.0001882,0.0001882,0.0001882
43,9856.6,0.05595,0.92748,1,0.19248,0.0001684,0.0001684,0.0001684
44,9901.5,0.05208,0.94084,1,0.19196,0.0001486,0.0001486,0.0001486
45,9946.24,0.05242,0.93893,1,0.20301,0.0001288,0.0001288,0.0001288
46,9991.13,0.04642,0.94466,1,0.17891,0.000109,0.000109,0.000109
47,10036.2,0.04137,0.95229,1,0.18049,8.92e-05,8.92e-05,8.92e-05
48,10081.1,0.04187,0.94275,1,0.18917,6.94e-05,6.94e-05,6.94e-05
49,10126.1,0.0537,0.94847,1,0.18192,4.96e-05,4.96e-05,4.96e-05
50,10171.3,0.05164,0.94466,1,0.18885,2.98e-05,2.98e-05,2.98e-05
